"","Merged","Nickname","Name","Strain","Treatment","Condition","Strategy","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"606P-15","Ancestor15","X606P.15.1","606P",606,"Ancestor",15,"Other",-1.95061071089572,-0.633769164912417,-0.768810781255623,0.904633157225488,-0.210341795080999
"606P-15-1","Ancestor15","X606P.15.2","606P",606,"Ancestor",15,"Other",-1.77664923165827,-0.518286672362864,-0.505299908850887,0.806772251962989,-0.108957137386332
"606P-15-2","Ancestor15","X606P.15.3","606P",606,"Ancestor",15,"Other",-2.20268888833626,-0.849173333458171,-1.16629912095276,1.15479291419693,-0.532130458531938
"606P-15-3","Ancestor15","X606P2.15.1","606P",606,"Ancestor",15,"Other",-2.20595315663581,-0.587030459445057,-1.121907141297,0.676419500010831,-0.226146866860439
"606P-15-4","Ancestor15","X606P2.15.2","606P",606,"Ancestor",15,"Other",-2.3491852120771,-0.635442726638238,-0.767312629944203,0.527129908256641,-0.219178752037758
"606P-15-5","Ancestor15","X606P2.15.3","606P",606,"Ancestor",15,"Other",-2.04210957142004,-0.623741349197363,-0.181459226463734,0.508839562226147,-0.152932534151689
"606P-43","Ancestor43","X606P2.43.1","606P",606,"Ancestor",43,"Other",1.24359429836303,-0.988061391046966,-0.382805030649233,0.0484410806109442,0.020707309930092
"606P-43-1","Ancestor43","X606P2.43.2","606P",606,"Ancestor",43,"Other",1.24725013379271,-0.881118452425593,-0.326444424138272,-0.128979960410773,0.0437583944758327
"606P-43-2","Ancestor43","X606P2.43.3","606P",606,"Ancestor",43,"Other",1.40043251947044,-0.98056048180017,-0.78537688307323,-0.0764628225770328,0.089164186936298
"606P-37","Ancestor37","X606P3.37.1","606P",606,"Ancestor",37,"Other",-0.190729693216687,0.717609058699863,0.0516997777673626,-0.17324227188743,-0.159131073767707
"606P-37-1","Ancestor37","X606P3.37.2","606P",606,"Ancestor",37,"Other",-0.106482326267698,0.789701911158023,-0.0343418516559029,-0.118090613376027,-0.021825909499735
"606P-37-2","Ancestor37","X606P3.37.3","606P",606,"Ancestor",37,"Other",0.0655449937356344,0.83043984846107,0.14340183619708,-0.0745875107995906,0.0529582523029885
"606P-43-3","Ancestor43","X606P3.43.1","606P",606,"Ancestor",43,"Other",1.26993535608041,-0.817332341740911,0.51652696806837,-0.301814379702684,-0.291813533928684
"606P-43-4","Ancestor43","X606P3.43.2","606P",606,"Ancestor",43,"Other",1.45234067313302,-0.827239716121618,-0.0587931443390279,-0.145610030236508,-0.116717631523524
"606P-43-5","Ancestor43","X606P3.43.3","606P",606,"Ancestor",43,"Other",1.81250202573467,-0.693260160246018,-1.14306433083144,-0.368648569695571,-0.291982834517402
"606P-37-3","Ancestor37","X606P.37.1","606P",606,"Ancestor",37,"Other",0.462774572936149,0.76850981036609,-0.145151460049876,0.140350359204466,-0.0106188463894269
"606P-37-4","Ancestor37","X606P.37.2","606P",606,"Ancestor",37,"Other",0.388429782261438,0.789804013257141,0.163301176926979,0.237984992333354,-0.0127722764160464
"606P-37-5","Ancestor37","X606P.37.3","606P",606,"Ancestor",37,"Other",0.522492690024385,0.635810114804262,0.0565689816401029,0.136489866366334,-0.0731428991374631
"S606-2-15","Slow15","Baelish.15.1","S606-2",606,"Slow",15,"Specialist",-1.78867191069815,-0.62912490432881,0.528179872236163,0.0123983349717055,-0.0605565954220756
"S606-2-15-1","Slow15","Baelish.15.2","S606-2",606,"Slow",15,"Specialist",-2.01292627608572,-0.644091180969101,-0.127688687699126,-0.00861604664021355,-0.191352162457637
"S606-2-15-2","Slow15","Baelish.15.3","S606-2",606,"Slow",15,"Specialist",-1.85542548278225,-0.714831481152535,0.323842779928249,-0.0683583599857803,-0.124433207098185
"S606-2-37","Slow37","Baelish.37.1","S606-2",606,"Slow",37,"Specialist",-0.249095094851281,0.71139411609618,-0.42893073605785,-0.168150999343471,-0.162951531485975
"S606-2-37-1","Slow37","Baelish.37.2","S606-2",606,"Slow",37,"Specialist",-0.278996146450941,0.790754740455611,-0.689554167474361,-0.257848230590897,-0.342736009293713
"S606-2-37-2","Slow37","Baelish.37.3","S606-2",606,"Slow",37,"Specialist",-0.278424369796868,0.715153476945473,-0.529631532196017,-0.224124834676222,-0.224971834517661
"S606-2-43","Slow43","Baelish.43.1","S606-2",606,"Slow",43,"Specialist",1.50250568898403,-0.482261982905065,0.0252822521689458,-0.0639875685142578,0.293328552791689
"S606-2-43-1","Slow43","Baelish.43.2","S606-2",606,"Slow",43,"Specialist",1.71514969382263,-0.406524852172529,-0.879568223166324,-0.0193904895412365,0.425592730227623
